Month,Bourke Street Mall (North),Bourke Street Mall (South),Melbourne Central,Town Hall (West),Princes Bridge,Flinders Street Station Underpass,Birrarung Marr,Webb Bridge,Southern Cross Station,Victoria Point,Waterfront City,New Quay,Sandridge Bridge,Collins St (North),Collins Place (South),Collins Place (North),Chinatown-Swanston St (North),Chinatown-Lt Bourke St (South),Flinders St-Elizabeth St (East),Spencer St-Collins St (South),Spencer St-Collins St (North),QV Market-Elizabeth St (West),QV Market-Peel St,The Arts Centre,St Kilda Rd-Alexandra Gardens,Lonsdale St (South),Lygon St (West),Flinders St-Spark La,Queen St (West),Lygon St (East),Lonsdale St-Spring St (West),Grattan St-Swanston St (West),Monash Rd-Swanston St (West),Tin Alley-Swanston St (West),Little Collins St-Swanston St (East),Pelham St (South),Melbourne Central-Elizabeth St (East),QVM-Queen St (East),QVM-Therry St (South),Faraday St-Lygon St (West),QVM-Franklin St (North),Elizabeth St-Lonsdale St (South),Lonsdale St - Elizabeth St (North),Bourke St Bridge,Bourke St - Spencer St (North),RMIT Bld 80 - 445 Swanston Street,RMIT Building 14
Aug-19,906524,641786,981893,1064689,963378,1051024,324456,144995,621153,155030,31181,147365,376633,526407,399639,271608,409279,356742,1359268,301302,1101164,477006,110086,815103,245549,409135,165318,136737,240287,102364,266442,266997,217791,89087,684434,83553,713839,206593,137175,193302,99286,325035,254486,858474,628506,141713,510872
Sep-19,943758,643780,869674,971314,925437,1008301,234247,140767,561236,131512,33783,107880,280755,501133,334076,259442,354831,335859,1271923,283404,984837,414913,105743,772680,239900,390684,165206,112122,223168,98157,232035,208020,149679,66381,635022,77593,669391,179612,93315,184283,87344,313040,233348,484876,560959,113007,412081
Oct-19,1028680,495941,919196,1047185,1028103,1151297,187355,58490,638247,148089,39806,161284,378780,552232,145879,275850,371801,349429,1366030,333926,1089497,449643,116005,784496,306070,430806,185839,110624,254896,111082,252751,199610,134070,63934,684615,77533,737875,194461,94980,205178,101168,332225,237426,501533,632111,133967,459405
Nov-19,1037267,744945,901523,1074747,673975,1105507,320914,137894,536947,134803,38002,167908,258021,558263,376933,254888,443735,292910,1311400,303150,1054288,422450,92834,774709,323731,388344,186601,100877,241663,115663,216953,162980,85309,47194,674366,66638,730207,205257,135467,205253,94935,328209,198465,551299,598612,96558,323670
Dec-19,1192463,927155,911297,1244392,1068849,1187116,209137,146964,442756,118303,54041,203969,293754,663114,327944,227047,471799,311778,1346535,274080,958089,401642,88620,732686,105625,367248,187154,94561,218355,112670,198684,118284,50218,27590,765819,40181,802147,207353,132729,223789,97110,310402,250344,381784,545728,83645,266536
Jan-20,892048,668884,761665,1030896,1247383,1019459,397700,138645,447042,120547,44545,158442,270260,549483,156874,213927,402866,274977,1290280,274044,935876,381587,101417,945322,279638,375715,184162,112218,204431,105217,209226,107933,64028,31907,652341,42714,660678,192423,101256,205694,92107,260967,226450,437667,526985,76359,235553
Feb-20,799619,576590,741496,905988,942341,1006221,171658,135248,541100,135510,37720,144770,268207,504897,97780,250756,327779,219605,1209332,280220,888466,388540,63830,701412,190042,299653,161818,106625,226382,94160,216396,141452,99075,45703,576576,56911,633844,186452,95164,190776,91210,266040,233456,641949,550090,95462,320497
Mar-20,560956,413673,560572,634135,595265,660488,270418,108618,333027,83743,33536,125709,211657,341429,251538,167266,225419,140930,960996,183816,586391,309845,50042,420725,244696,215226,125180,70787,155735,70544,132251,175615,143171,47218,409033,59855,475265,144166,85517,139684,80953,202614,164848,336187,371158,106162,309911
Apr-20,118068,90403,127245,130659,98688,129411,68983,61748,50451,20529,26239,81828,11524,73050,49162,28667,52929,22630,299425,42018,147616,130433,34080,75387,41253,47555,42337,20014,30448,23356,30561,17701,11373,8482,82847,12079,126345,76762,63224,39262,37371,38430,45256,25409,83203,16995,50822
May-20,269797,166650,221395,245937,156405,190953,79655,86154,66957,22798,27749,93754,52335,127430,71582,41539,87450,33652,445791,57167,210379,175871,48555,104748,63801,66290,59667,25879,41696,29929,40219,23186,20082,13601,133954,15479,212147,127055,80665,69443,48456,59061,65859,37667,124505,15603,77503
Jun-20,424475,234928,352121,394408,274311,204701,75117,89089,78310,27828,26876,94052,201942,191924,90523,60293,156696,79559,557724,72804,269049,207532,59913,141403,65348,128378,109559,31873,65371,54425,59914,19582,21774,15625,194301,18768,302881,99570,78411,111589,54204,96777,96654,61425,118379,19938,94725
Jul-20,216573,135601,193613,222709,169971,138147,62290,75732,57246,21203,23972,80959,35965,117107,66315,42312,81928,39455,391523,53124,182899,160031,42409,104101,42851,71295,65220,19866,47629,27241,40275,28467,20536,13345,109372,17197,205960,63121,66832,66055,34708,56269,60591,39276,105365,16635,72321
Aug-20,70531,55186,92862,97810,91977,98825,60750,68893,25341,14345,23458,80468,23067,48247,44077,11623,43322,19565,254305,27285,98462,115828,32861,69231,34503,35291,40849,15061,23503,17885,25570,17874,13629,8768,49157,12052,124483,49897,63432,37751,21337,26444,31013,22739,60266,12170,44323
Sep-20,71240,53958,114151,112760,112820,110806,81129,82156,26083,15874,31635,104014,35261,44229,49248,15279,50744,22339,276070,31401,105296,125332,37079,81766,44963,35962,45837,18670,24801,24152,26584,21843,17685,9257,54821,12755,135639,50891,65631,49286,43104,27953,30144,19526,70020,14209,46623
Oct-20,155204,99592,200313,198008,184080,162609,84080,91322,35168,18087,32378,107315,24946,78877,62262,19077,82920,37862,357417,19126,91919,119771,43467,107006,57257,63189,74488,19687,33448,40933,35926,36107,22519,12413,90166,1790,190965,70146,73589,78644,50217,46721,41029,27974,86123,18686,63482
Nov-20,498611,299204,425215,490630,364502,324248,81472,63101,48367,21292,38544,125105,98248,204778,95278,49312,204532,101612,558733,59465,121275,199637,53223,167861,75884,158236,181951,20084,62507,85414,60692,55395,27335,15662,212730,12110,366156,87514,71529,149021,56900,114306,96986,58677,156410,106475,105565
Dec-20,714656,512225,259567,796734,731645,494740,68813,106207,56666,26043,42326,139742,193596,314534,116129,71134,278448,154056,758570,85441,315815,226916,64809,303045,45531,220907,159977,25276,85224,87368,74693,46727,22833,12631,347148,18107,477188,110179,73107,190600,66867,162916,131371,79397,221883,169755,125184
Jan-21,459859,287940,182222,558664,657882,412406,76628,95228,56358,25460,37281,128494,154910,222325,104243,63833,229457,126285,639360,82955,277986,223900,58418,407448,20048,195345,146835,22884,79164,81216,67863,38402,23558,12888,235664,17925,361790,95516,65809,153786,59547,135258,122563,75884,189994,154039,112517
Feb-21,354240,215505,98534,456419,515746,355201,130822,91493,77981,24990,30952,115557,133703,196079,119393,76922,182833,106062,517017,87675,277340,218369,51909,317626,23016,156380,96964,28641,74081,62600,72257,57148,38200,16267,199341,18163,293808,82869,61117,117370,59700,118243,104729,42245,196819,153477,116233
Mar-21,523660,315709,185706,650570,660726,510400,136258,85345,155192,44430,31651,126292,186294,287649,192002,114316,236064,157154,676032,134680,416498,244875,63883,458441,150365,220463,120504,41380,124929,82249,116655,102075,101222,40833,317351,33885,407009,103344,64460,155922,72407,163972,141669,226859,303799,286223,197564
Apr-21,612164,361785,337429,743653,759926,564776,138673,112938,183534,54071,38862,143228,208769,327216,211908,54937,287951,194224,673613,159778,455097,248553,66367,563047,121408,262827,126872,45860,134949,93506,120968,74600,85887,37608,407149,29498,451467,114884,71901,156119,68648,178893,155287,381255,335977,253153,178608
May-21,529938,291785,280760,611918,556204,504102,125690,114358,193344,50192,27389,118874,189149,282433,209613,121994,218982,147954,519127,156930,61760,241486,68715,411164,96813,213839,100769,49260,137303,77513,121297,76605,105440,41349,309709,33566,395912,108699,72130,139313,65852,163011,142955,333326,311382,241754,172760
Jun-21,350868,194777,216026,415985,358617,292943,62836,81580,61820,27016,23332,84339,103577,175535,99701,60926,160507,83866,484247,71717,216261,181100,53817,246249,54781,138115,85601,29114,70318,61683,61187,35823,36669,19347,198395,17181,295397,89152,66715,117479,52136,103409,97445,105428,157162,120728,98508
Jul-21,397826,216716,228182,483035,526115,363937,80704,83506,87534,33874,22378,93950,127860,201462,124180,75418,187442,88294,587906,93761,287132,195964,61156,408728,91656,153629,93248,35839,89155,72460,72240,42035,42532,19887,238433,20477,319191,94428,71023,114368,55215,113698,107256,176874,149443,143461,122911
Aug-21,156531,80548,105047,213065,178661,180941,67012,87220,46017,19330,28847,98062,70220,94004,71315,41259,80679,29263,372280,50780,179016,135759,52907,109840,54388,61402,42118,24083,43193,34248,39229,31747,26917,17444,100076,15812,181465,67532,59596,68052,42525,53710,60292,66464,53182,103895,82287
