month,day_based_counts2019,day_based_counts2020,day_based_counts2021
January,18904686.0,23189121.0,10904769.0
February,18816254.0,21853368.0,8775020.0
March,23181242.0,16576373.0,13412576.0
April,22818120.0,3965628.0,15917378.0
May,21590920.0,6257626.0,8189692.0
June,20194222.0,8573779.0,9123174.0
July,22744685.0,5394964.0,10791452.0
August,23896524.0,3157701.0,5678484.0
September,21107792.0,3789356.0,0.0
October,24738547.0,5274979.0,0.0
November,23487511.0,9755676.0,0.0
December,24931172.0,14153423.0,0.0
