month,day_based_counts2019,day_based_counts2020,day_based_counts2021,Person Employed 2019,Person Employed 2020,Person Employed 2020.1
January,18904686.0,23189121.0,10904769.0,2284500,2329600,2299300
February,18816254.0,21853368.0,8775020.0,2292700,2311000,2311200
March,23181242.0,16576373.0,13412576.0,2298800,2306500,2305400
April,22818120.0,3965628.0,15917378.0,2282000,2279100,2311900
May,21590920.0,6257626.0,8189692.0,2295500,2262000,2344000
June,20194222.0,8573779.0,9123174.0,2288900,2245400,2347900
July,22744685.0,5394964.0,10791452.0,2312100,2226200,2356000
August,23896524.0,3157701.0,5678484.0,2303500,2211400,2373900
September,21107792.0,3789356.0,0.0,2311700,2201100,0
October,24738547.0,5274979.0,0.0,2316200,2244700,0
November,23487511.0,9755676.0,0.0,2304000,2265300,0
December,24931172.0,14153423.0,0.0,2304000,2256900,0
