,sensor_id,sensor_description,sensor_name,installation_date,status,direction_1,direction_2,latitude,longitude,location,note,Address,Postcode
0,55,Elizabeth St-La Trobe St (East),Eli380_T,2018-07-19T00:00:00.000,A,North,South,-37.80988941,144.96134331,"{'latitude': '-37.80988941', 'longitude': '144.96134331', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,"380A Elizabeth St, Melbourne VIC 3000, Australia",3000
1,45,Little Collins St-Swanston St (East),Swa148_T,2017-06-29T00:00:00.000,A,North,South,-37.81414074,144.9660938,"{'latitude': '-37.81414074', 'longitude': '144.9660938', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,"150 Swanston St, Melbourne VIC 3000, Australia",3000
2,61,RMIT Building 14,RMIT14_T,2019-06-28T00:00:00.000,A,North,South,-37.80767455,144.96309115,"{'latitude': '-37.80767455', 'longitude': '144.96309115', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,"418 Swanston St, Melbourne VIC 3000, Australia",3000
3,7,Birrarung Marr,Fed_T,2014-12-17T00:00:00.000,A,East,West,-37.81862929,144.97169395,"{'latitude': '-37.81862929', 'longitude': '144.97169395', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,"Unnamed Road, Melbourne VIC 3004, Australia",3004
4,72,Flinders St- ACMI,ACMI_T,2020-11-30T00:00:00.000,A,East,West,-37.81726337,144.96872809,"{'latitude': '-37.81726337', 'longitude': '144.96872809', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,"123 Flinders St, Melbourne VIC 3000, Australia",3000
5,62,La Trobe St (North),Lat224_T,2019-09-25T00:00:00.000,A,East,West,-37.80996494,144.96216521,"{'latitude': '-37.80996494', 'longitude': '144.96216521', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,"252 La Trobe St, Melbourne VIC 3000, Australia",3000
6,63,231 Bourke St,Bou231_T,2020-01-07T00:00:00.000,A,East,West,-37.81333081,144.96675572,"{'latitude': '-37.81333081', 'longitude': '144.96675572', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,"231 Bourke Street Mall, Melbourne VIC 3000, Australia",3000
7,14,Sandridge Bridge,SanBri_T,2019-09-25T00:00:00.000,A,North,South,-37.82011242,144.96291898,"{'latitude': '-37.82011242', 'longitude': '144.96291898', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,"Sandridge Bridge, 1 Southbank Blvd, Southbank VIC 3006, Australia",3006
8,41,Flinders La-Swanston St (West),Swa31,2017-06-29T00:00:00.000,A,North,South,-37.81668633,144.96689733,"{'latitude': '-37.81668633', 'longitude': '144.96689733', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,"703/37 Swanston St, Melbourne VIC 3000, Australia",3000
9,25,Melbourne Convention Exhibition Centre,MCEC_T,2019-10-02T00:00:00.000,A,East,West,-37.82401776,144.95604426,"{'latitude': '-37.82401776', 'longitude': '144.95604426', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",Sensor relocated from 14 to 25 on 2/10/2019,"2 Clarendon St, South Wharf VIC 3006, Australia",3006
10,60,Flinders La - Swanston St (West) Temporary,Swa31T_T,2019-03-08T00:00:00.000,R,North,South,-37.81668188,144.9668954,"{'latitude': '-37.81668188', 'longitude': '144.9668954', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",Temporary for the duration of the metro tunnel works. Installed under the scaffolding.,"3/37 Swanston St, Melbourne VIC 3000, Australia",3000
11,64,Royal Pde - Grattan St,Grat292_T,2020-01-16T00:00:00.000,A,North,South,-37.79949544,144.95792282,"{'latitude': '-37.79949544', 'longitude': '144.95792282', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,"10-Royal Melbourne Hospital/Royal Pde (Melbourne City), Parkville VIC 3010, Australia",3010
12,39,Alfred Place,AlfPl_T,2019-12-04T00:00:00.000,A,South,North,-37.81379749,144.96995745,"{'latitude': '-37.81379749', 'longitude': '144.96995745', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",In 4/12/2019 sensor upgraded,"121-127 Little Collins St, Melbourne VIC 3000, Australia",3000
13,17,Collins Place (South),Col15_T,2009-03-30T00:00:00.000,A,East,West,-37.81362542,144.97323592,"{'latitude': '-37.81362542', 'longitude': '144.97323592', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",Device is upgraded in 26/02/2020,"15 Collins St, Melbourne VIC 3000, Australia",3000
14,65,Swanston St - City Square,SwaCs_T,2020-03-12T00:00:00.000,A,North,South,-37.81569416,144.96680641,"{'latitude': '-37.81569416', 'longitude': '144.96680641', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,"Melbourne : Level 1, 2 &, 11, 440 Collins St, Melbourne VIC 3000, Australia",3000
15,66,State Library - New,QVN_T,2020-04-06T00:00:00.000,A,South,North,-37.81057845,144.96444294,"{'latitude': '-37.81057845', 'longitude': '144.96444294', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,"300 Swanston St, Melbourne VIC 3000, Australia",3000
